LBFGS Accumulation History: 1 points
Constructing line search parameters: GD
th(0)=4.437342591868191E-31;dx=-6.21225300471965E-32
Armijo: th(2.154434690031884)=4.437342591868191E-31; dx=-6.21225300471965E-32 delta=0.0
Armijo: th(1.077217345015942)=4.437342591868191E-31; dx=-6.21225300471965E-32 delta=0.0
Armijo: th(0.3590724483386473)=4.437342591868191E-31; dx=-6.21225300471965E-32 delta=0.0
Armijo: th(0.08976811208466183)=4.437342591868191E-31; dx=-6.21225300471965E-32 delta=0.0
Armijo: th(0.017953622416932366)=4.437342591868191E-31; dx=-6.21225300471965E-32 delta=0.0
Armijo: th(0.002992270402822061)=4.437342591868191E-31; dx=-6.21225300471965E-32 delta=0.0
Armijo: th(4.2746720040315154E-4)=4.437342591868191E-31; dx=-6.21225300471965E-32 delta=0.0
Armijo: th(5.343340005039394E-5)=4.437342591868191E-31; dx=-6.21225300471965E-32 delta=0.0
Armijo: th(5.9370444500437714E-6)=4.437342591868191E-31; dx=-6.21225300471965E-32 delta=0.0
Armijo: th(5.937044450043771E-7)=4.437342591868191E-31; dx=-6.21225300471965E-32 delta=0.0
Armijo: th(5.397313136403428E-8)=4.437342591868191E-31; dx=-6.21225300471965E-32 delta=0.0
Armijo: th(4.4977609470028565E-9)=4.437342591868191E-31; dx=-6.21225300471965E-32 delta=0.0
WOLFE (weak): th(3.4598161130791205E-10)=4.437342591868191E-31; dx=-6.21225300471965E-32 delta=0.0
Armijo: th(2.4218712791553844E-9)=4.437342591868191E-31; dx=-6.21225300471965E-32 delta=0.0
Armijo: th(1.3839264452316482E-9)=4.437342591868191E-31; dx=-6.21225300471965E-32 delta=0.0
Armijo: th(8.649540282697801E-10)=4.437342591868191E-31; dx=-6.21225300471965E-32 delta=0.0
WOLFE (weak): th(6.05467819788846E-10)=4.437342591868191E-31; dx=-6.21225300471965E-32 delta=0.0
Armijo: th(7.35210924029313E-10)=4.437342591868191E-31; dx=-6.21225300471965E-32 delta=0.0
WOLFE (weak): th(6.703393719090796E-10)=4.437342591868191E-31; dx=-6.21225300471965E-32 delta=0.0
WOLFE (weak): th(7.027751479691964E-10)=4.437342591868191E-31; dx=-6.21225300471965E-32 delta=0.0
Armijo: th(7.189930359992546E-10)=4.437342591868191E-31; dx=-6.21225300471965E-32 delta=0.0
Armijo: th(7.108840919842255E-10)=4.437342591868191E-31; dx=-6.21225300471965E-32 delta=0.0
Armijo: th(7.068296199767109E-10)=4.437342591868191E-31; dx=-6.21225300471965E-32 delta=0.0
mu /= nu: th(0)=4.437342591868191E-31;th'(0)=-6.21225300471965E-32;
Iteration 1 failed, aborting. Error: 4.437342591868191E-31 Total: 249862200445028.8000; Orientation: 0.0001; Line Search: 0.0037
